"address","breast","calendar","cervical","colon","lung","oral","prostate","stomach","url"
"7","[{""N"":""30""},{""N"":""1""},{""N"":""200""}]","0","[{""N"":""20""},{""N"":""1""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""-1""},{""N"":""-1""},{""N"":""-1""}]","[{""N"":""-1""},{""N"":""-1""},{""N"":""200""}]","[{""N"":""50""},{""N"":""1""},{""N"":""200""}]","https://www.city.takatsuki.osaka.jp/soshiki/41/5457.html"
"8","[{""N"":""30""},{""N"":""1""},{""N"":""200""},{""N"":""40""},{""N"":""2""}]","1","[{""N"":""20""},{""N"":""2""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""-1""},{""N"":""-1""},{""N"":""-1""}]","[{""N"":""-1""},{""N"":""-1""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","https://www.city.kaizuka.lg.jp/kakuka/kenkokodomo/kenkosuishin/menu/otonakenko/index.html"
"32","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","1","[{""N"":""20""},{""N"":""1""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""-1""},{""N"":""-1""},{""N"":""-1""}]","[{""N"":""-1""},{""N"":""-1""},{""N"":""-1""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","https://www.city.hannan.lg.jp/life_event/kenkou_iryou_hoken/kenshin/index.html"
"39","[{""N"":""40""},{""N"":""2""},{""N"":""200""}]","0","[{""N"":""20""},{""N"":""2""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""-1""},{""N"":""-1""},{""N"":""-1""}]","[{""N"":""-1""},{""N"":""-1""},{""N"":""-1""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","http://www.town.misaki.osaka.jp/soshiki/shiawase/tiikifukushi/hoken/seijin/816.html"
"10","[{""N"":""40""},{""N"":""2""},{""N"":""200""}]","1","[{""N"":""20""},{""N"":""1""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""-1""},{""N"":""-1""},{""N"":""-1""}]","[{""N"":""-1""},{""N"":""-1""},{""N"":""-1""}]","[{""N"":""35""},{""N"":""2""},{""N"":""200""}]","https://www.city.hirakata.osaka.jp/0000002044.html"
"31","[{""N"":""40""},{""N"":""2""},{""N"":""200""}]","0","[{""N"":""20""},{""N"":""1""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""-1""},{""N"":""-1""},{""N"":""-1""}]","[{""N"":""50""},{""N"":""1""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","http://www.city.osakasayama.osaka.jp/iryo_fukushi/kenko/kakushukenshinkenshin/1411009772359.html"
"3","[{""N"":""40""},{""N"":""2""},{""N"":""200""}]","0","[{""N"":""20""},{""N"":""1""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""-1""},{""N"":""-1""},{""N"":""-1""}]","[{""N"":""50""},{""N"":""1""},{""N"":""200""}]","[{""N"":""50""},{""N"":""2""},{""N"":""200""}]","https://www.city.toyonaka.osaka.jp/kenko/kenko_hokeneisei/kenshin/kenshin_top.html"
"38","[{""N"":""40""},{""N"":""2""},{""N"":""200""}]","1","[{""N"":""20""},{""N"":""2""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""-1""},{""N"":""-1""},{""N"":""-1""}]","[{""N"":""-1""},{""N"":""-1""},{""N"":""-1""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","https://www.town.tajiri.osaka.jp/kakukanojoho/minseibu/kenkoka/1/2/686.html"
"2","[{""N"":""40""},{""N"":""2""},{""N"":""200""}]","1","[{""N"":""20""},{""N"":""1""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""-1""},{""N"":""-1""},{""N"":""-1""}]","[{""N"":""-1""},{""N"":""-1""},{""N"":""-1""}]","[{""N"":""35""},{""N"":""1""},{""N"":""200""}]","https://www.city.kishiwada.osaka.jp/soshiki/33/gankenshin3.html"
"21","[{""N"":""30""},{""N"":""2""},{""N"":""200""}]","0","[{""N"":""20""},{""N"":""2""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""-1""},{""N"":""-1""},{""N"":""-1""}]","[{""N"":""-1""},{""N"":""-1""},{""N"":""-1""}]","[{""N"":""30""},{""N"":""1""},{""N"":""200""}]","http://www.city.kashiwara.osaka.jp/docs/2014081800211/"
"40","[{""N"":""40""},{""N"":""2""},{""N"":""200""}]","1","[{""N"":""20""},{""N"":""2""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""-1""},{""N"":""-1""},{""N"":""-1""}]","[{""N"":""-1""},{""N"":""-1""},{""N"":""-1""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","https://www.town.taishi.osaka.jp/busyo/kenkoufukusibu/ikiikikenkou/monthly_kenko_info/1383041687670.html"
"14","[{""N"":""40""},{""N"":""2""},{""N"":""200""}]","0","[{""N"":""20""},{""N"":""2""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""-1""},{""N"":""-1""},{""N"":""-1""}]","[{""N"":""-1""},{""N"":""-1""},{""N"":""-1""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","https://www.city.tondabayashi.lg.jp/soshiki/28/60121.html"
"18","[{""N"":""40""},{""N"":""2""},{""N"":""200""}]","0","[{""N"":""20""},{""N"":""2""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""-1""},{""N"":""-1""},{""N"":""-1""}]","[{""N"":""-1""},{""N"":""-1""},{""N"":""-1""}]","[{""N"":""50""},{""N"":""5""},{""N"":""65""}]","https://www.city.daito.lg.jp/soshiki/27/1296.html"
"25","[{""N"":""40""},{""N"":""2""},{""N"":""200""}]","1","[{""N"":""20""},{""N"":""2""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""-1""},{""N"":""-1""},{""N"":""-1""}]","[{""N"":""-1""},{""N"":""-1""},{""N"":""-1""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","https://www.city.takaishi.lg.jp/kakuka/fukushi_hoken/chiikihoukatukeasuishin_ka/sougouhokensenta_jigyoshokai/kakushu_gankenshin/1586919674045.html"
"12","[{""N"":""40""},{""N"":""2""},{""N"":""200""}]","0","[{""N"":""20""},{""N"":""2""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""-1""},{""N"":""-1""},{""N"":""-1""}]","[{""N"":""-1""},{""N"":""-1""},{""N"":""-1""}]","[{""N"":""35""},{""N"":""1""},{""N"":""200""},{""N"":""50""},{""N"":""2""}]","https://www.city.yao.osaka.jp/0000042126.html"
"9","[{""N"":""40""},{""N"":""2""},{""N"":""200""}]","1","[{""N"":""20""},{""N"":""2""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""-1""},{""N"":""-1""},{""N"":""-1""}]","[{""N"":""55""},{""N"":""1""},{""N"":""70""}]","[{""N"":""35""},{""N"":""1""},{""N"":""200""}]","https://www.city.moriguchi.osaka.jp/kenkofukushi/kenkoiryo/seijinnokenkoshinsa/index.html"
"27","[{""N"":""40""},{""N"":""2""},{""N"":""200""}]","1","[{""N"":""20""},{""N"":""2""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""-1""},{""N"":""-1""},{""N"":""-1""}]","[{""N"":""-1""},{""N"":""-1""},{""N"":""-1""}]","[{""N"":""50""},{""N"":""2""},{""N"":""200""}]","https://www.city.higashiosaka.lg.jp/0000009395.html"
"4","[{""N"":""30""},{""N"":""1""},{""N"":""200""},{""N"":""40""},{""N"":""2""}]","0","[{""N"":""20""},{""N"":""2""},{""N"":""200""}]","[{""N"":""50""},{""N"":""1""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""-1""},{""N"":""-1""},{""N"":""-1""}]","[{""N"":""50""},{""N"":""1""},{""N"":""200""}]","[{""N"":""35""},{""N"":""1""},{""N"":""200""}]","https://www.city.ikeda.osaka.jp/material/files/group/62/R4kensinnnaiyou.pdf"
"26","[{""N"":""40""},{""N"":""2""},{""N"":""200""}]","1","[{""N"":""20""},{""N"":""2""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""-1""},{""N"":""-1""},{""N"":""-1""}]","[{""N"":""-1""},{""N"":""-1""},{""N"":""-1""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","https://www.city.fujiidera.lg.jp/soshiki/kenkou_fukushi/kenko/kakusyukenshin/1388033779705.html"
"13","[{""N"":""40""},{""N"":""2""},{""N"":""200""}]","1","[{""N"":""20""},{""N"":""2""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""-1""},{""N"":""-1""},{""N"":""-1""}]","[{""N"":""-1""},{""N"":""-1""},{""N"":""-1""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","https://www.city.izumisano.lg.jp/material/files/group/46/202204gankensinhyou.pdf"
"16","[{""N"":""40""},{""N"":""2""},{""N"":""200""}]","0","[{""N"":""20""},{""N"":""1""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""-1""},{""N"":""-1""},{""N"":""-1""}]","[{""N"":""-1""},{""N"":""-1""},{""N"":""-1""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","https://www.city.kawachinagano.lg.jp/soshiki/8/1569.html"
"41","[{""N"":""40""},{""N"":""2""},{""N"":""200""}]","1","[{""N"":""20""},{""N"":""2""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""-1""},{""N"":""-1""},{""N"":""-1""}]","[{""N"":""50""},{""N"":""1""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","http://www.town.kanan.osaka.jp/kurashinogaido/seikatsuniyakudatsu/fukushi_kenko/1394430092365.html"
"17","[{""N"":""20""},{""N"":""2""},{""N"":""200""}]","0","[{""N"":""20""},{""N"":""2""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""20""},{""N"":""1""},{""N"":""200""}]","[{""N"":""-1""},{""N"":""-1""},{""N"":""-1""}]","[{""N"":""30""},{""N"":""1""},{""N"":""200""}]","https://www.city.matsubara.lg.jp/material/files/group/4/4,5.pdf"
"6","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","0","[{""N"":""20""},{""N"":""1""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""-1""},{""N"":""-1""},{""N"":""-1""}]","[{""N"":""50""},{""N"":""1""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","https://www.city.izumiotsu.lg.jp/material/files/group/33/seijinhokenyoteihyou.pdf"
"36","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","0","[{""N"":""20""},{""N"":""1""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""-1""},{""N"":""-1""},{""N"":""-1""}]","[{""N"":""50""},{""N"":""1""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","https://www.town.tadaoka.osaka.jp/?p=48142"
"20","[{""N"":""40""},{""N"":""2""},{""N"":""200""}]","0","[{""N"":""20""},{""N"":""2""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","[{""N"":""-1""},{""N"":""-1""},{""N"":""-1""}]","[{""N"":""55""},{""N"":""3""},{""N"":""76""}]","[{""N"":""40""},{""N"":""1""},{""N"":""200""}]","https://www.city.minoh.lg.jp/kenkou/zenritusengan.html"
