自治体番号,自治体名,胃がん,肺がん,大腸がん,乳がん,子宮頸がん,前立腺がん,口腔がん,満年齢or実年齢,URL
0,大阪市,"[50,1,200]","[40,1,200]","[40,1,200]","[40,2,200]","[20,2,200]","[50,5,70]","[-1,-1,-1]",1,https://www.city.osaka.lg.jp/kenko/page/0000008503.html
1,堺市,"[50,2,200]","[40,1,200]","[40,1,200]","[40,2,200]","[20,2,200]","[50,2,69]","[-1,-1,-1]",1,https://www.city.sakai.lg.jp/nishi/annai/gyoumuannai/hokencenter/seijin/kakushu.html
2,岸和田市,"[40,1,200]","[40,1,200]","[40,1,200]","[40,2,200]","[20,2,200]","[-1,-1,-1]","[-1,-1,-1]",1,https://www.city.kishiwada.osaka.jp/soshiki/33/gankenshin3.html
3,豊中市,"[50,2,200]","[40,1,200]","[40,1,200]","[40,2,200]","[20,2,200]","[50,1,200]","[-1,-1,-1]",1,https://www.city.toyonaka.osaka.jp/kenko/kenko_hokeneisei/kenshin/kenshin_top.html
4,池田市,"[35,1,200]","[40,1,200]","[40,1,200]","[40,2,200]","[20,2,200]","[50,1,200]","[-1,-1,-1]",1,https://www.city.ikeda.osaka.jp/soshiki/kodomo/kenkozoshin/seijin/1415935034203.html
5,吹田市,"[50,2,200]","[40,1,200]","[40,1,200]","[40,2,200]","[20,2,200]","[50,1,200]","[-1,-1,-1]",1,https://www.city.suita.osaka.jp/kenko/1018600/1018601/1018602/1018603/
6,泉大津市,"[40,1,200]","[-1,-1,-1]","[40,1,200]","[40,2,200]","[20,1,200]","[50,1,200]","[-1,-1,-1]",1,https://www.city.izumiotsu.lg.jp/kurashi/seijinn/kensin/index.html
7,高槻市,"[50,1,200]","[40,1,200]","[40,1,200]","[30,2,200]","[20,1,200]","[50,1,200]","[-1,-1,-1]",1,https://www.city.takatsuki.osaka.jp/life/3/30/168/
8,貝塚市,"[40,1,200]","[40,1,200]","[40,1,200]","[40,2,200]","[20,1,200]","[-1,-1,-1]","[-1,-1,-1]",1,https://www.city.kaizuka.lg.jp/kakuka/kenkohukushi/kenkosuishin/menu/otonakenko/shikyu.html
9,守口市,"[35,1,200]","[40,1,200]","[40,1,200]","[40,2,200]","[20,1,200]","[55,1,70]","[-1,-1,-1]",1,https://www.city.moriguchi.osaka.jp/kakukanoannai/kenkofukushibu/kenkosuishinka/kenkoiryo/seijinnokenkoshinsa/876.html
